ComponentType,Currency,CurrencyAmount,Date
return,GBP,882,2016-07-18 00:16:40
invoice,USD,213,2016-03-05 09:08:31
return,GBP,799,2016-11-14 22:54:10
order,EUR,831,2016-01-06 16:24:16
invoice,GBP,834,2016-01-23 09:35:35
return,USD,728,2016-03-30 12:56:10
order,USD,837,2016-05-05 10:40:08
invoice,EUR,58,2016-08-03 00:24:35
return,EUR,545,2016-01-16 02:20:43
order,GBP,468,2016-12-15 08:15:11
return,EUR,4,2016-05-20 20:38:43
invoice,GBP,267,2016-09-24 06:44:23
return,USD,442,2016-08-03 05:35:10
invoice,USD,181,2016-08-04 03:17:44
order,EUR,241,2016-06-08 10:24:52
invoice,USD,181,2016-09-28 10:16:27
return,EUR,569,2016-02-29 22:53:02
invoice,USD,797,2016-05-03 12:54:25
return,EUR,264,2016-06-18 13:57:27
return,USD,370,2016-05-29 18:30:54
order,USD,329,2016-11-14 01:15:12
order,USD,580,2016-10-03 03:30:16
order,USD,121,2016-05-07 03:15:07
invoice,GBP,61,2016-02-24 07:35:50
invoice,USD,60,2016-05-17 22:29:26
order,EUR,217,2016-03-17 22:13:52
invoice,GBP,608,2016-07-20 07:47:26
return,USD,899,2016-06-28 16:25:14
order,GBP,657,2016-06-08 21:14:17
order,GBP,265,2016-02-21 07:34:47
invoice,EUR,924,2016-01-02 04:23:15
invoice,GBP,300,2016-12-18 17:05:28
return,EUR,87,2016-11-15 06:10:10
order,USD,195,2016-07-22 09:53:53
order,USD,577,2016-10-24 20:12:15
order,EUR,187,2016-04-19 14:38:30
order,EUR,548,2016-02-02 08:36:27
order,USD,44,2016-05-02 23:56:53
order,EUR,386,2016-12-21 03:21:39
return,GBP,477,2016-08-29 15:40:29
return,EUR,792,2016-12-08 18:04:58
invoice,USD,614,2016-03-11 07:58:16
invoice,USD,593,2016-01-25 00:20:39
return,USD,562,2016-07-29 23:45:38
return,USD,769,2016-09-03 15:50:05
return,EUR,905,2016-09-16 19:21:52
order,EUR,665,2016-04-05 22:40:55
return,EUR,604,2016-12-01 03:49:28
order,USD,705,2016-07-15 11:11:20
invoice,GBP,206,2016-04-18 14:12:23
invoice,USD,472,2016-01-19 14:54:27
order,EUR,543,2016-06-06 07:17:19
invoice,USD,513,2016-03-06 18:51:35
order,GBP,340,2016-12-23 15:34:29
order,USD,371,2016-10-28 13:21:02
invoice,EUR,46,2016-03-01 18:36:13
invoice,GBP,392,2016-09-18 08:23:06
invoice,GBP,997,2016-04-08 22:21:39
return,EUR,983,2016-06-16 18:03:13
invoice,EUR,87,2016-08-03 16:51:30
invoice,EUR,626,2016-07-22 03:37:27
return,USD,616,2016-09-13 20:49:00
return,EUR,367,2016-12-30 17:40:39
order,GBP,341,2016-10-24 14:51:00
invoice,EUR,840,2016-02-18 16:08:32
invoice,EUR,158,2016-07-12 17:04:32
order,EUR,783,2016-06-10 08:59:38
order,EUR,774,2016-06-27 11:09:06
return,USD,210,2016-10-06 12:38:17
invoice,GBP,808,2016-10-16 11:13:21
invoice,GBP,198,2016-11-01 16:28:23
invoice,EUR,613,2016-06-11 06:54:25
return,GBP,403,2016-05-13 15:56:13
invoice,EUR,764,2016-04-21 05:33:43
order,USD,780,2016-05-12 03:57:06
invoice,EUR,613,2016-01-14 12:36:31
order,USD,919,2016-12-11 22:58:40
invoice,USD,579,2016-09-15 12:57:46
return,USD,552,2016-05-24 20:13:05
invoice,GBP,825,2016-05-28 08:46:26
order,USD,163,2016-01-25 08:15:38
invoice,EUR,245,2016-09-23 10:10:43
return,GBP,978,2016-01-06 14:26:23
order,EUR,648,2016-08-17 09:45:59
order,EUR,601,2016-05-29 14:10:33
return,USD,184,2016-05-03 23:14:25
return,GBP,75,2016-10-14 15:47:22
return,USD,364,2016-10-17 11:13:36
order,EUR,109,2016-09-27 13:32:25
return,GBP,745,2016-01-03 13:50:00
return,USD,904,2016-04-06 20:01:47
order,GBP,645,2016-12-17 21:38:43
return,GBP,338,2016-12-01 15:08:29
order,GBP,594,2016-03-26 22:14:15
invoice,EUR,91,2016-06-12 10:22:24
return,GBP,232,2016-02-06 04:44:09
invoice,EUR,105,2016-03-11 06:22:54
order,USD,107,2016-09-27 22:29:05
return,GBP,901,2016-07-07 05:20:19
order,USD,143,2016-07-14 08:05:27
return,EUR,520,2016-08-23 07:37:20
order,GBP,628,2016-10-26 08:20:21
invoice,EUR,966,2016-02-23 00:46:00
invoice,EUR,865,2016-01-24 21:40:21
invoice,GBP,877,2016-03-29 01:12:19
order,USD,703,2016-03-09 23:12:21
order,USD,806,2016-06-06 01:12:27
return,EUR,897,2016-10-11 12:16:19
return,EUR,27,2016-07-07 04:52:16
invoice,USD,416,2016-08-24 22:48:13
order,GBP,534,2016-07-18 23:40:22
invoice,GBP,308,2016-06-25 01:53:11
order,EUR,47,2016-12-29 14:03:22
invoice,EUR,304,2016-05-28 05:46:04
invoice,GBP,327,2016-06-18 05:00:00
order,EUR,212,2016-07-23 02:29:17
return,USD,813,2016-08-24 11:58:14
order,USD,900,2016-12-08 10:05:55
invoice,USD,75,2016-03-25 15:58:50
return,USD,80,2016-03-30 01:26:55
order,USD,225,2016-04-22 04:28:44
invoice,EUR,618,2016-10-22 13:40:30
order,GBP,978,2016-06-10 08:03:49
invoice,EUR,462,2016-01-01 01:03:22
order,EUR,280,2016-12-20 18:09:35
invoice,USD,444,2016-10-31 04:04:44
return,GBP,262,2016-03-25 01:18:55
invoice,EUR,55,2016-06-27 00:33:35
order,GBP,775,2016-07-04 06:08:48
return,USD,508,2016-04-13 12:29:14
order,EUR,336,2016-05-29 23:57:56
order,EUR,950,2016-12-31 04:24:24
order,EUR,550,2016-10-11 16:12:24
order,USD,595,2016-08-10 12:44:17
invoice,EUR,702,2016-11-19 09:48:03
order,USD,254,2016-01-26 03:25:26
order,EUR,428,2016-12-26 03:34:08
return,USD,228,2016-09-01 06:05:17
order,GBP,629,2016-04-10 13:25:22
order,USD,302,2016-06-20 16:59:49
return,USD,677,2016-09-19 23:38:56
invoice,GBP,71,2016-01-20 09:39:27
order,EUR,394,2016-10-05 09:08:11
order,EUR,715,2016-02-08 18:17:29
return,GBP,604,2016-12-31 09:44:50
return,GBP,48,2016-12-07 17:12:30
invoice,EUR,558,2016-10-27 09:29:45
return,EUR,96,2016-02-12 22:28:02
return,GBP,670,2016-03-10 14:11:04
order,USD,27,2016-04-15 11:01:58
order,GBP,303,2016-05-29 17:51:05
order,USD,55,2016-09-19 19:05:04
order,EUR,21,2016-03-04 05:43:45
invoice,USD,765,2016-02-01 14:07:59
invoice,GBP,162,2016-03-31 12:25:23
invoice,USD,131,2016-08-30 14:48:33
order,GBP,928,2016-12-04 20:22:42
invoice,GBP,145,2016-01-23 18:34:05
invoice,USD,383,2016-07-31 13:44:47
invoice,USD,446,2016-06-11 06:35:50
invoice,GBP,354,2016-10-08 16:36:46
order,USD,583,2016-04-25 21:27:20
invoice,EUR,984,2016-08-18 00:49:24
return,EUR,3,2016-05-18 05:54:48
order,USD,578,2016-11-17 06:45:39
invoice,USD,874,2016-06-21 13:04:40
invoice,USD,942,2016-07-30 14:36:20
return,EUR,390,2016-03-03 12:22:01
order,USD,776,2016-11-12 12:08:01
order,USD,200,2016-10-05 22:47:24
order,GBP,23,2016-04-18 00:43:56
return,USD,941,2016-06-09 06:16:07
return,GBP,630,2016-02-27 13:23:58
invoice,GBP,276,2016-08-21 23:11:57
order,USD,939,2016-06-23 03:50:22
invoice,EUR,468,2016-07-05 07:38:51
return,GBP,601,2016-04-11 22:21:59
